,date,open,high,low,close,volume,candle_type,p_cnt,sw_cnt
0,2021-12-18,46125.33,47336.99,45438.43,46815.99,191006.415,,0,0
1,2021-12-19,46815.99,48461.17,46399.37,46668.63,241698.541,up_bar,1,1
2,2021-12-20,46668.65,47533.42,45530.67,46898.14,273804.259,down_bar,0,-1
3,2021-12-21,46896.82,49298.78,46650.0,48875.15,260008.358,up_bar,1,1
4,2021-12-22,48875.88,49599.0,48420.02,48569.69,208463.689,up_bar,1,2
5,2021-12-23,48569.69,51377.74,48020.0,50817.92,255885.48,outside_up_dn,0,-1
6,2021-12-24,50817.94,51805.0,50379.25,50808.55,220208.725,up_bar,1,1
7,2021-12-25,50809.37,51190.0,50105.0,50403.64,147662.438,down_bar,0,-1
8,2021-12-26,50403.64,51300.0,49350.0,50765.73,184800.616,outside_up_dn,0,-2
9,2021-12-27,50765.73,52134.0,50450.0,50707.72,216225.263,up_bar,1,1
10,2021-12-28,50707.72,50713.56,47290.0,47522.03,336083.34,down_bar,0,-1
11,2021-12-29,47522.02,48125.97,46000.0,46436.54,274795.378,down_bar,0,-2
12,2021-12-30,46436.53,47911.68,45880.0,47095.02,229931.288,down_bar,0,-3
13,2021-12-31,47095.02,48575.0,45650.0,46210.56,287186.003,outside_dn_up,0,1
14,2022-01-01,46210.57,47943.77,46210.55,47704.35,179433.584,,0,1
15,2022-01-02,47704.35,48000.0,46605.68,47280.0,184795.093,up_bar,1,2
16,2022-01-03,47280.01,47575.22,45665.4,46445.81,244781.793,down_bar,0,-1
17,2022-01-04,46445.8,47524.36,45445.57,45833.42,292149.75,down_bar,0,-2
18,2022-01-05,45833.41,47075.29,42270.0,43421.69,485477.569,down_bar,0,-3
19,2022-01-06,43421.7,43766.0,42385.83,43080.01,299509.851,,0,-3
20,2022-01-07,43080.01,43135.0,40456.56,41553.86,473214.849,down_bar,0,-3
21,2022-01-08,41553.87,42335.0,40500.0,41688.05,283737.224,,0,-3
22,2022-01-09,41688.05,42773.85,41170.0,41851.22,223134.952,up_bar,1,1
23,2022-01-10,41851.22,42219.84,39610.0,41801.55,453644.116,down_bar,0,-1
24,2022-01-11,41801.55,43118.0,41255.0,42700.68,323760.691,up_bar,1,1
25,2022-01-12,42700.69,44300.0,42415.0,43880.72,281339.294,up_bar,1,2
26,2022-01-13,43880.72,44396.68,42301.16,42534.32,289289.18,outside_dn_up,0,3
27,2022-01-14,42538.72,43450.0,41666.0,43042.4,272517.077,down_bar,0,-1
28,2022-01-15,43042.4,43800.0,42530.64,43070.51,184649.157,up_bar,1,1
29,2022-01-16,43070.51,43464.71,42531.69,43060.66,177450.475,,0,1
30,2022-01-17,43060.66,43159.32,41523.68,42176.34,232748.345,down_bar,0,-1
31,2022-01-18,42176.34,42680.0,41260.0,42337.58,267472.465,down_bar,0,-2
32,2022-01-19,42337.58,42545.0,41115.64,41657.89,333952.095,down_bar,0,-3
33,2022-01-20,41656.9,43495.0,40550.0,40661.69,399818.052,outside_dn_up,0,1
34,2022-01-21,40662.06,41095.76,35380.92,36425.98,790320.909,down_bar,0,-1
35,2022-01-22,36426.46,36817.74,33950.0,35043.73,676272.904,down_bar,0,-2
36,2022-01-23,35043.73,36496.92,34588.8,36230.01,369372.903,,0,-2
37,2022-01-24,36230.0,37528.0,32853.83,36648.31,823000.702,outside_up_dn,0,-3
38,2022-01-25,36648.3,37561.03,35693.0,36934.26,409535.517,up_bar,1,1
39,2022-01-26,36934.26,38886.58,36232.42,36787.43,554457.384,up_bar,1,2
40,2022-01-27,36787.42,37200.0,35471.53,37131.0,422006.922,down_bar,0,-1
41,2022-01-28,37131.0,38000.0,36149.02,37696.21,367509.143,up_bar,1,1
42,2022-01-29,37696.22,38750.94,37252.0,38150.01,238657.764,up_bar,1,2
43,2022-01-30,38150.0,38420.3,37334.83,37870.01,195029.125,,0,2
44,2022-01-31,37870.0,38741.73,36620.0,38439.04,318440.392,outside_up_dn,0,-1
45,2022-02-01,38439.04,39260.26,37969.0,38680.51,353354.121,up_bar,1,1
46,2022-02-02,38680.51,38834.18,36529.81,36892.03,337570.934,down_bar,0,-1
47,2022-02-03,36892.05,37395.0,36204.3,37289.86,318656.228,down_bar,0,-2
48,2022-02-04,37287.33,41741.76,37011.0,41550.0,520105.77,up_bar,1,1
49,2022-02-05,41550.0,41922.0,40920.0,41374.69,242184.07,up_bar,1,2
50,2022-02-06,41374.68,42656.8,41100.0,42361.35,215323.95,up_bar,1,3
51,2022-02-07,42361.34,44541.16,41609.76,43829.99,418053.774,up_bar,1,3
52,2022-02-08,43829.99,45600.0,42641.0,44021.57,468015.421,up_bar,1,3
53,2022-02-09,44021.58,44826.0,43089.08,44358.08,300270.062,,0,3
54,2022-02-10,44358.09,45847.5,43136.96,43471.29,563922.075,up_bar,1,3
55,2022-02-11,43471.3,43900.0,41914.23,42366.0,414646.193,down_bar,0,-1
