Open,High,Low,Close,Volume,candle_type,sw_cnt,sw_trend,trend_cnt,sw_top,sw_bottom,sw_high_price,sw_low_price,sw_highs,sw_lows,trend,tsl_long,tsl_short,LONG_Signal,SHORT_Signal,Long_Exit,Short_Exit
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27899.5,1732.27106231,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27925.4,1734.25362712,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27964.9,1746.27921366,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27890.0,1762.580225,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27911.9,1785.5879519,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27931.7,1786.81997582,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27957.3,1791.72916306,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27962.0,1793.01067179,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-01 00:00:00,26972.1,28087.9,26965.7,27983.3,1794.92294381,up_bar,3,1.0,16,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,27995.0,27981.1,27995.0,0.70235238,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27981.1,27992.2,25.62765658,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27952.0,27959.2,31.3721969,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27950.0,27950.0,40.11332565,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27950.0,27954.9,41.03644011,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27907.4,27907.4,59.30156094,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27953.2,64.63928595,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27923.3,66.62505618,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27916.2,70.96703939,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27950.0,73.95123229,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27961.5,77.29918438,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27921.7,80.7067812,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27930.6,81.76193987,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27960.0,85.96251815,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27902.0,27953.2,86.86714991,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
